Cover ID,Version Covered Name
1,Oliver!
2,Aretha Franklin
3,Chicago
4,Katy Perry
5,Les Misérables
6,Guys and Dolls
7,REO Speedwagon
8,Journey
9,Grease
10,Amy Winehouse
11,John Denver
12,KC and the Sunshine Band
13,Chic
14,Kanye West feat. Jamie Foxx
15,Eric Carmen
16,Salt-n-Pepa
17,Dionne Warwick
18,Rihanna
19,Anon
20,Montell Jordan
21,Bell Biv DeVoe
22,Duffy
23,Juanes
24,Jazmine Sullivan
25,Color Me Badd
26,Beyoncé
27,Céline Dion
28,West Side Story
29,Cabaret
30,Heart
31,Carrie Underwood
32,Queen
33,Bon Jovi / Usher
34,Beyoncé / Katrina and the Waves
35,Jill Scott
36,Nelly feat. City Spud
37,Jordin Sparks and Chris Brown
38,The Supremes
39,Avril Lavigne
40,Young MC
41,Sisqó
42,Christina Aguilera
43,Neil Diamond
44,Louis Prima
45,My Fair Lady
46,Generation X
47,Wicked
48,Ike and Tina Turner
49,Lionel Richie and Diana Ross
50,The Pretenders
51,The Police /Gary Puckett & The Union Gap
52,Jennifer Paige
53,Paul Anka and Odia Coates
54,Bill Withers
55,Destiny's Child
56,Madonna
57,Beyoncé feat. Jay-Z / Hair
58,John Lennon
59,Cyndi Lauper
60,Lily Allen
61,Louis Armstrong
62,Van Halen
63,Nat King Cole
64,Dreamgirls
65,Funny Girl
66,The Rolling Stones
67,Kelly Clarkson
68,The Doors
69,The All-American Rejects
70,Lionel Richie
71,AC/DC
72,The Beatles
73,Madonna feat.Justin Timberlake and Timbaland
74,Bruce Springsteen
75,The 5th Dimension/Dionne Warwick
76,The Wiz
77,Vanilla Ice
78,MC Hammer
79,Olivia Newton-John
80,David Geddes
81,Bonnie Tyler
82,Miley Cyrus
83,Rick Springfield
84,"Sammy Davis, Jr."
85,John Mellencamp
86,Brandy and Monica
87,Gypsy: A Musical Fable
88,U2
89,The Monkees
90,Billy Joel
91,Sweet Charity
92,Aerosmith
93,Men Without Hats
94,The Mamas and the Papas
95,Barbra Streisand
96,Lady Gaga
97,Kiss
98,Rufus and Chaka Khan
99,Beck
100,James Brown
101,Marky Mark and the Funky Bunchfeat. Loleatta Holloway
102,Parliament
103,Josh Groban / Olivia Newton-John
104,Lulu
105,Israel Kamakawiwoʻole
106,Jay-Z feat. Alicia Keys
107,Poison
108,Lady Gaga feat. Beyoncé
109,The King and I
110,Travie McCoy feat. Bruno Mars
111,Snap!
112,A Chorus Line
113,Britney Spears
114,Britney Spears feat. Madonna
115,Christopher Cross
116,Paramore
117,Whitney Houston
118,R.E.M.
119,Joan Osborne
120,Elton John and Kiki Dee
121,Ike & Tina Turner
122,Victor/Victoria
123,Billy Preston and Syreeta Wright
124,Jason Mraz and Colbie Caillat
125,Judy Garland and Barbra Streisand
126,The Rocky Horror Show
127,Bob Marley & The Wailers
128,The Rolling Stones / Bon Jovi
129,The Supremes / En Vogue
130,Schoolhouse Rock!
131,Cee Lo Green
132,Donald O'Connor
133,Gene Kelly / Rihanna feat. Jay-Z
134,Wonderful Town
135,Bruno Mars
136,Michael Bublé
137,Evita
138,Mike + The Mechanics
139,Train
140,Bill Medley and Jennifer Warnes
141,Mark Ronson feat. Amy Winehouse
142,Florence and the Machine
143,Rudolph the Red-Nosed Reindeer
144,Mame
145,The Carpenters
146,Frank Loesser and Lynn Garland
147,How the Grinch Stole Christmas!
148,Wham!
149,Katy Perry feat. Snoop Dogg
150,Lady Antebellum
151,The Zombies
152,Michael Jackson / Yeah Yeah Yeahs
153,Michael Jackson
154,Robin Thicke
155,Babes in Arms
156,Wings
157,Justin Bieber feat. Ludacris
158,Justin Bieber
159,Rent
160,Traditional
161,The Waitresses
162,My Chemical Romance
163,Original composition
164,The Human League
165,Jamie Foxx feat. T-Pain
166,George Thorogood
167,Ke$ha
168,Joan Jett
169,Neon Trees
170,Prince and The Revolution
171,Fleetwood Mac and Dixie Chicks
172,Starland Vocal Band
173,Maroon 5
174,Sonseed
175,Hey Monday
176,Pink
177,Lykke Li
178,Jack Johnson
179,Adele
180,West Side Story / TLC
181,Keane
182,Sunset Boulevard
183,Duck Sauce
184,Fleetwood Mac
185,Adele covered by John Legend
186,Stevie Wonder
187,Rebecca Black
188,Christina Perri
189,Black Kids
190,ABBA
191,Otis Redding
192,Willy Wonka & the Chocolate Factory
193,Madonna / On the Town
194,Matthew Morrison
195,Lady and the Tramp
196,Usher feat. Lil Jon and Ludacris
197,The Go-Gos
198,Barbra Streisand and Harold Arlen
199,Tom Jones
200,Anything Goes / Annie Get Your Gun
201,Hairspray
202,Jennifer Hudson
203,Fame
204,Coldplay
205,The Muppets
206,Foreigner
207,Teddy Thompson
208,Lady Gaga / Eddie Rabbitt and Crystal Gayle
209,Pat Benatar / Blondie
210,Hall & Oates
211,Melissa Etheridge
212,Dolly Parton
213,k.d. lang
214,Toby Keith
215,Destiny's Child / Gloria Gaynor
216,The Jackson 5
217,Janet Jackson
218,fun. feat. Janelle Monáe
219,Mariah Carey
220,Elvis Presley
221,Joni Mitchell
222,Vaughn Monroe
223,The Sound of Music
224,Bruce Springsteen and the E Street Band
225,Band Aid
226,The 5th Dimension
227,Maroon 5 feat. Christina Aguilera / The Rolling Stones
228,Roberta Flack
229,David Guetta feat. Usher
230,Rihanna feat. Calvin Harris
231,Michael Jackson and Janet Jackson
232,Michael Jackson feat. Siedah Garrett
233,LMFAO
234,Gloria Estefan
235,Gipsy Kings / Enrique Iglesias
236,The Dixie Cups
237,Mario
238,Gym Class Heroes feat. Adam Levine
239,Anything Goes
240,The Association / Madonna
241,The B-52's
242,Young the Giant
243,Lenny Kravitz
244,The Wanted
245,Lord Byron
246,Nicki Minaj feat. Rihanna / R. Kelly
247,Halestorm
248,Elton John
249,Duran Duran
250,Givers
251,Gotye feat. Kimbra
252,Bee Gees
253,The Trammps
254,Yvonne Elliman
255,The Phantom of the Opera
256,Alice Cooper
257,The Boy from Oz
258,Florence + the Machine
259,Fergie
260,Selena Gomez & the Scene
261,One Direction
262,Berlin
263,Jason Mraz
264,Celine Dion
265,"Kiss Me, Kate"
266,Taylor Swift
267,Irene Cara
268,Meat Loaf
269,Nicki Minaj
270,The Who
271,Starlight Express
272,Grouplove
273,Rod Stewart
274,New Radicals
275,Room for Two
276,Night Ranger
277,Carly Rae Jepsen
278,Lady Gaga / Jennifer Lopez feat. Pitbull
279,The Fray
280,Franz Schubert
281,Imagine Dragons
282,Britney Spears feat. Pharrell Williams / Justin Bieber
283,Aerosmith / Britney Spears
284,Tears for Fears
285,Hole
286,Fred Astaire / Annie
