song_id,episode_code,song_title,cover_id,song_performer_id,album_id
1,S01E01,Where Is Love?,1,1,1
2,S01E01,Respect,2,2,1
640,S05E15,(You Make Me Feel Like) A Natural Woman,2,2,36
643,S05E15,Colorblind,386,2,36
350,S03E13,I Will Always Love You,117,2,18
341,S03E12,Don't Wanna Lose You,234,2,18
543,S04E21,Higher Ground,186,2,24
26,S01E03,Bust Your Windows,24,2,3
60,S01E11,Don't Make Me Over,17,2,4
70,S01E13,And I Am Telling You I'm Not Going,64,2,4
259,S02E21,Try a Little Tenderness,191,2,16
3,S01E01,Mister Cellophane,3,3,1
104,S01E18,Pink Houses,85,3,1
258,S02E21,Some People,87,3,10
157,S02E04,Le Jazz Hot!,122,3,10
644,S05E15,I'm Still Here,384,3,36
278,S03E02,I'm the Greatest Star,65,3,18
380,S03E17,I Have Nothing,117,3,18
470,S04E09,Being Alive,299,3,24
733,S06E12,Mister Cellophane,3,3,23
151,S02E03,I Want to Hold Your Hand,72,3,9
106,S01E18,"Rose's Turn""[nb 4",87,3,6
241,S02E18,As If We Never Said Goodbye,182,3,16
4,S01E01,I Kissed a Girl,4,4,1
30,S01E04,Tonight,28,4,1
560,S05E02,Revolution,72,4,1
136,S02E01,Getting to Know You,109,4,1
203,S02E12,My Funny Valentine,155,4,1
234,S02E17,I Follow Rivers,177,4,10
396,S03E20,Because You Loved Me,264,4,18
495,S04E13,Hung Up,56,4,24
478,S04E11,I Don't Know How to Love Him,306,4,24
735,S06E12,I Kissed a Girl,4,4,53
6,S01E01,"Sit Down, You're Rockin' the Boat",6,6,1
114,S01E19,Dream a Little Dream of Me,94,6,5
408,S03E22,"Sit Down, You're Rockin' the Boat""[nb 5",6,250,1
8,S01E01,"Lovin', Touchin', Squeezin'",8,8,1
31,S01E05,Don't Stop Believin',8,21,1
73,S01E13,Don't Stop Believin',8,39,1
9,S01E01,You're the One That I Want,9,9,1
14,S01E01,Don't Stop Believin',8,9,3
41,S01E07,No Air,37,9,3
127,S01E22,Faithfully,8,9,8
163,S02E05,Over at the Frankenstein Place,126,9,12
61,S01E11,You're the One That I Want,9,36,1
159,S02E04,With You I'm Born Again,123,36,1
66,S01E12,Smile,60,36,4
415,S03E22,Roots Before Branches,275,36,20
85,S01E15,Open Your Heart/Borderline,56,36,7
155,S02E04,Don't Go Breaking My Heart,120,36,5
269,S02E22,Pretending,163,36,16
193,S02E10,Last Christmas,148,36,14
12,S01E01,That's the Way (I Like It),12,12,1
13,S01E01,"(Shake, Shake, Shake)Shake Your Booty",12,12,1
367,S03E16,"That's the Way (I Like It)""[nb 3",12,220,1
15,S01E02,Le Freak,13,13,1
40,S01E07,Ride wit Me,36,13,1
581,S05E05,On Our Way,355,13,1
194,S02E10,Welcome Christmas,147,13,10
402,S03E21,Paradise by the Dashboard Light,268,13,18
534,S04E20,We Will Rock You,32,13,24
489,S04E12,This Is the New Year,315,13,24
525,S04E18,Say,342,13,24
154,S02E03,One of Us,119,13,9
179,S02E08,Marry You,135,13,9
737,S06E12,Don't Stop Believin',8,13,53
18,S01E02,Push It,16,13,2
63,S01E11,Crazy in Love/Hair,57,13,2
82,S01E14,"Hello, Goodbye",72,13,6
125,S01E21,Give Up the Funk,102,13,6
36,S01E05,Somebody to Love,32,13,3
43,S01E07,Keep Holding On,39,13,3
128,S01E22,"Any Way You Want It"" / ""Lovin', Touchin', Squeezin'",8,13,8
129,S01E22,Don't Stop Believin',8,13,8
131,S01E22,"To Sir, with Love",104,13,8
52,S01E09,Proud Mary,48,13,4
58,S01E10,Lean on Me,54,13,4
68,S01E12,Jump,62,13,4
69,S01E12,Smile,63,13,4
75,S01E13,You Can't Always Get What You Want,66,13,4
76,S01E13,My Life Would Suck Without You,67,13,4
719,S06E09,Cool Kids,440,13,50
90,S01E15,Like a Prayer,56,13,7
458,S04E07,Some Nights,292,13,25
168,S02E05,Time Warp,126,13,12
323,S03E09,Do They Know It's Christmas?,225,13,21
720,S06E10,Rather Be,441,13,51
724,S06E10,Rise,444,13,51
17,S01E02,All by Myself,15,15,1
49,S01E08,"I Could Have Danced All Night""[nb 2",45,15,3
21,S01E03,For He's a Jolly Good Fellow,19,18,1
22,S01E03,This Is How We Do It,20,18,1
23,S01E03,Poison,21,18,1
27,S01E03,"I Wanna Sex You Up""[nb 2",25,18,3
